#  SN  PRN   Hour          X[km]         Y[km]          Z[km]           T[Ms]
# ===  ===  =====  =============  =============  =============  =============
  245  G10  61.00  -19223.567053   -4748.154756  -17737.478935      -1.109741
  246  G10  61.25  -19600.201878   -5299.405028  -17168.024666      -1.113859
  247  G10  61.50  -19972.413534   -5826.694585  -16565.809765      -1.117980
  248  G10  61.75  -20338.632200   -6329.503994  -15932.001786      -1.122099
  249  G10  62.00  -20697.276688   -6807.418776  -15267.826923      -1.126227
  250  G10  62.25  -21046.761232   -7260.130242  -14574.567550      -1.130322
  251  G10  62.50  -21385.502301   -7687.435848  -13853.559711      -1.134470
  252  G10  62.75  -21711.925413   -8089.239137  -13106.190479      -1.138589
  253  G10  63.00  -22024.471906   -8465.549190  -12333.895275      -1.142702
  254  G10  63.25  -22321.605663   -8816.479670  -11538.155070      -1.146820
  255  G10  63.50  -22601.819729   -9142.247404  -10720.493547      -1.150941
  256  G10  63.75  -22863.642829   -9443.170534   -9882.474187      -1.155061
  257  G10  64.00  -23105.645724   -9719.666266   -9025.697280      -1.159167
  258  G10  64.25  -23326.447414   -9972.248180   -8151.796913      -1.163272
  259  G10  64.50  -23524.721131  -10201.523164   -7262.437870      -1.167390
  260  G10  64.75  -23699.200123  -10408.187947   -6359.312528      -1.171510
  261  G10  65.00  -23848.683182  -10593.025281   -5444.137679      -1.175629
  262  G10  65.25  -23972.039919  -10756.899749   -4518.651350      -1.179760
  263  G10  65.50  -24068.215737  -10900.753265   -3584.609566      -1.183869
  264  G10  65.75  -24136.236508  -11025.600236   -2643.783117      -1.188089
  265  G10  66.00  -24175.212918  -11132.522449   -1697.954299      -1.192194
  266  G10  66.25  -24184.344464  -11222.663684    -748.913630      -1.196313
  267  G10  66.50  -24162.923103  -11297.224065     201.543409      -1.200422
  268  G10  66.75  -24110.336507  -11357.454217    1151.619673      -1.204543
  269  G10  67.00  -24026.070950  -11404.649193    2099.519611      -1.208627
  270  G10  67.25  -23909.713785  -11440.142249    3043.452541      -1.212727
  271  G10  67.50  -23760.955512  -11465.298458    3981.635892      -1.216847
  272  G10  67.75  -23579.591434  -11481.508219    4912.298443      -1.220949
  273  G10  68.00  -23365.522881  -11490.180656    5833.683527      -1.225053
  274  G10  68.25  -23118.758022  -11492.736960    6744.052203      -1.229252
  275  G10  68.50  -22839.412220  -11490.603699    7641.686412      -1.233345
  276  G10  68.75  -22527.707981  -11485.206097    8524.892066      -1.237466
  277  G10  69.00  -22183.974449  -11477.961356    9392.002127      -1.241603
  278  G10  69.25  -21808.646490  -11470.272000   10241.379607      -1.245685
  279  G10  69.50  -21402.263320  -11463.519311   11071.420543      -1.249807
  280  G10  69.75  -20965.466752  -11459.056844   11880.556888      -1.253802
  281  G10  70.00  -20498.998992  -11458.204086   12667.259367      -1.257920
  282  G10  70.25  -20003.700044  -11462.240261   13430.040255      -1.262005
  283  G10  70.50  -19480.504730  -11472.398305   14167.456073      -1.266096
  284  G10  70.75  -18930.439300  -11489.859062   14878.110245      -1.270216
  285  G10  71.00  -18354.617703  -11515.745685   15560.655635      -1.274352
  286  G10  71.25  -17754.237472  -11551.118311   16213.797040      -1.278479
  287  G10  71.50  -17130.575296  -11596.968987   16836.293568      -1.282588
  288  G10  71.75  -16484.982249  -11654.216909   17426.960947      -1.286694
  289  G10  72.00  -15818.878737  -11723.703956   17984.673724  999999.999999
